===> Epoch 1 Complete: Avg. Loss: 0.0581
===> Processing image: 18 || Timer: 0.0891 sec. || PSNR: 19.1834 dB
===> Processing image: 19 || Timer: 0.0901 sec. || PSNR: 22.2810 dB
===> Processing image: 20 || Timer: 0.0794 sec. || PSNR: 25.9321 dB
===> Processing image: 21 || Timer: 0.0871 sec. || PSNR: 26.6752 dB
===> Processing image: 22 || Timer: 0.0883 sec. || PSNR: 27.6778 dB
===> Processing image: 23 || Timer: 0.0851 sec. || PSNR: 28.2478 dB
===> Processing image: 24 || Timer: 0.0885 sec. || PSNR: 24.6627 dB
===> Processing image: 25 || Timer: 0.0873 sec. || PSNR: 22.6535 dB
===> Processing image: 26 || Timer: 0.0922 sec. || PSNR: 28.2130 dB
===> Processing image: 27 || Timer: 0.0946 sec. || PSNR: 22.7120 dB
===> Processing image: 28 || Timer: 0.0799 sec. || PSNR: 30.2263 dB
===> Processing image: 29 || Timer: 0.0806 sec. || PSNR: 29.6785 dB
===> Processing image: 30 || Timer: 0.0879 sec. || PSNR: 21.9456 dB
===> Processing image: 31 || Timer: 0.0872 sec. || PSNR: 21.0985 dB
===> Processing image: 32 || Timer: 0.0850 sec. || PSNR: 20.9228 dB
===> Processing image: 33 || Timer: 0.0905 sec. || PSNR: 20.2371 dB
===> Processing image: 34 || Timer: 0.0863 sec. || PSNR: 20.6239 dB
===> Processing image: 35 || Timer: 0.0936 sec. || PSNR: 21.3040 dB
===> Processing image: 36 || Timer: 0.0908 sec. || PSNR: 22.6613 dB
===> Processing image: 37 || Timer: 0.0901 sec. || PSNR: 21.2582 dB
===> Processing image: 38 || Timer: 0.0925 sec. || PSNR: 23.8562 dB
===> Processing image: 39 || Timer: 0.0894 sec. || PSNR: 21.5225 dB
===> Processing image: 40 || Timer: 0.0889 sec. || PSNR: 29.1827 dB
===> Processing image: 41 || Timer: 0.0903 sec. || PSNR: 23.7774 dB
===> Processing image: 42 || Timer: 0.0963 sec. || PSNR: 21.6858 dB
===> Processing image: 43 || Timer: 0.0973 sec. || PSNR: 23.4676 dB
===> Processing image: 44 || Timer: 0.0919 sec. || PSNR: 27.0210 dB
===> Processing image: 45 || Timer: 0.0923 sec. || PSNR: 26.4071 dB
===> Processing image: 46 || Timer: 0.0901 sec. || PSNR: 29.9756 dB
===> Processing image: 47 || Timer: 0.0867 sec. || PSNR: 29.2587 dB
===> Processing image: 48 || Timer: 0.0856 sec. || PSNR: 26.5127 dB
